,uri,type,title,dates
252,/agents/kLZV8vZyBFaaPHcwswj3dH,agent,Leland C. DeVinney,"[{'expression': '1906-1998', 'begin': '1906', 'end': '1998', 'label': 'existence', 'type': 'range'}]"
253,/agents/XJhxNhBNGreBaPgtU5jhKK,agent,Janet R. Houghton,
254,/agents/hxo2Sm7mJ87gUCPy2rtsUC,agent,Marjorie Martus,
255,/agents/hXjGCDWieFsCY6CKQQtsSA,agent,James U. Norris,
256,/agents/H47Zgbd2xopV6M4PiZcvxy,agent,Jerry A. Jacobs,
257,/agents/ne8qJ2eeF7q9FJmjENhiGn,agent,Jim Sidanius,
258,/agents/Zd4qNne9GEExLh9JJ3gGwU,agent,Fred E. (Fred Eugene) Crossland,"[{'expression': '1920', 'begin': '1920', 'end': '1920', 'label': 'existence', 'type': 'single'}]"
259,/agents/42EmGdToykxBaxXRdEKiuZ,agent,Keith T.  Poole,
260,/agents/XNPqQNULCxVmWqXoW8sshY,agent,Abby Milton O'Neill,
261,/agents/Qr3g9N9b7TvWr7o9XF72ny,agent,Sydel Silverman,
262,/agents/dznbNhb3Gd9hEpgCcmaSvh,agent,George F. Gant,
263,/agents/EJ9GRn6eVFFxbGSs9LCvHb,agent,Gregory DeFreitas,
264,/agents/i8zhZ7eRm6jdj6hpuVmSJ4,agent,Lottie Chaikin Plaut,
265,/agents/TaztrHgYRRD2QaxetMiTV9,agent,Lynn Hickey Schultz,
